"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,0.948190350881977,0.907,0.641,0,"0","1110038B12RIK"
0,0.841927624023254,0.961,0.834,0,"0","HSPA5"
0,0.708433466282123,0.991,0.884,0,"0","NPM1"
0,0.588188035452619,0.988,0.884,0,"0","EIF1"
0,0.595257983781012,0.994,0.916,0,"0","RPL9"
0,0.492902090692749,0.997,0.932,0,"0","RPS7"
0,0.495765570476427,0.999,0.94,0,"0","RPS10"
0,0.445064164400604,0.999,0.948,0,"0","RPL32"
0,0.519055758630578,0.998,0.947,0,"0","RPL30"
0,0.385008948429105,0.999,0.953,0,"0","RPL13"
0,0.425031287609176,0.999,0.953,0,"0","RPL26"
0,0.512062679551381,1,0.957,0,"0","RPL23"
5.06252559962336e-307,0.422577108646115,0.997,0.939,1.35422559789925e-302,"0","RPL7"
1.5328743978052e-305,0.475674917146693,0.993,0.914,4.10043901412891e-301,"0","RPL38"
1.05518152577813e-298,0.474098936010157,0.994,0.922,2.82261058145649e-294,"0","RPL5"
2.95870181910179e-294,0.428767169556219,0.998,0.939,7.9145273660973e-290,"0","RPS24"
2.43896681987345e-284,0.438741530531737,0.995,0.928,6.52423624316147e-280,"0","RPS23"
2.46743851702047e-275,0.428672351434535,0.997,0.928,6.60039803302976e-271,"0","RPS14"
1.6406975359969e-274,0.462889091353304,0.992,0.913,4.38886590879172e-270,"0","RPL31"
1.52907629733749e-267,0.463389781496366,0.994,0.926,4.0902790953778e-263,"0","RACK1"
1.75511834723927e-243,0.382375031011101,0.995,0.935,4.69494157886505e-239,"0","RPL37"
1.34035753849153e-234,0.456195355641678,0.978,0.873,3.58545641546485e-230,"0","RPL14"
2.43834282190938e-233,0.34529588556225,0.996,0.936,6.52256704860758e-229,"0","RPL17"
7.72263688126186e-231,0.360857871710155,0.998,0.946,2.06580536573755e-226,"0","RPL8"
4.58694978430863e-220,0.507517264618795,0.953,0.816,1.22700906730256e-215,"0","RPL4"
1.3373102438971e-218,0.491144739749009,0.962,0.841,3.57730490242474e-214,"0","RPS18"
9.46043726844962e-214,0.413789867488062,0.985,0.901,2.53066696931027e-209,"0","RPL12"
1.27188424187932e-212,0.471495770884177,0.953,0.832,3.40229034702717e-208,"0","RPS25"
